node_id,node_name,MAE,RMSE,MAPE,R2
0,Hosur Road,4.273285066016175,8.393385787620565,10.978481500690657,0.27790074725894853
1,Silk Board Junction,3.7926876522787136,8.459355497692751,10.240503279856718,0.4079059515509271
2,Ballari Road,5.258654650997602,9.863371665895812,14.25400768037884,0.0361247890045322
3,Hebbal Flyover,5.8721068938125525,10.438870461574044,15.759674820381885,0.017667636481542237
4,100 Feet Road,11.073300050615513,14.323200460568922,33.12815365907209,-0.7783906489278389
5,CMH Road,11.566028795201653,15.73972910566299,33.32694390287159,-0.7024382433364158
6,Jayanagar 4th Block,7.718133238074889,12.720138559082196,20.864635929318894,-0.22681298037721875
7,South End Circle,7.219721768722545,11.51761773281695,21.931540799657153,-0.40340530649637363
8,Sarjapur Road,7.2243152742437955,10.872153864276642,20.841797115866168,-0.6820323435511146
9,Sony World Junction,7.983517504918596,12.19188093964829,24.189080301009113,-0.3313170482822452
10,Anil Kumble Circle,10.357208430953248,13.67874805409089,27.81231814363621,-0.8974279534875702
11,Trinity Circle,8.47673534765532,12.38704334273144,23.785163165722807,-0.520967643544344
12,ITPL Main Road,5.358380117229657,10.122522598500765,12.93986448508931,-0.04947068685970568
13,Marathahalli Bridge,5.324733157447362,9.549116056182935,15.471685512563106,0.13049691758101079
14,Tumkur Road,5.327968346771335,10.02485643570846,12.945525582003063,0.15254675361000736
15,Yeshwanthpur Circle,4.589420008762091,9.3730262325508,12.780949691359018,0.4306856704443117
