node_id,node_name,MAE,RMSE,MAPE,R2
0,Hosur Road,5.6187146799979795,7.7701892681527385,14.247572596040131,0.3811495367452997
1,Silk Board Junction,5.228434889756523,7.663159089672073,14.94485077127111,0.5141168630056425
2,Ballari Road,6.760152331104806,9.064323154044747,19.74164546739802,0.18596931652695647
3,Hebbal Flyover,7.498951687080472,9.70283863788557,19.35950125929576,0.15131006139450742
4,100 Feet Road,8.793246506439013,10.836629751435009,26.218619878130443,-0.017971212208696352
5,CMH Road,9.74407425358445,12.240984514770984,30.99655417265952,-0.029697259124601194
6,Jayanagar 4th Block,8.493473267571513,10.74059908036987,24.5066564798756,0.12531497792545243
7,South End Circle,7.411929678999859,9.580820759929715,23.341584596136673,0.02890163152098746
8,Sarjapur Road,6.363429742681938,8.476665460172198,17.69010354075716,-0.02247629907047366
9,Sony World Junction,8.031359195184983,10.122906863825733,26.35797063434359,0.08219472402548555
10,Anil Kumble Circle,8.471528356682349,10.407414801567633,21.58178392244678,-0.09839443061364861
11,Trinity Circle,8.353736289403782,10.195678162202851,24.826287525296262,-0.030426209720450625
12,ITPL Main Road,7.297283402960782,9.300380100544087,17.28484943176011,0.11408062628098337
13,Marathahalli Bridge,7.200540777400495,9.24597769845132,22.933397904340993,0.18482572509080342
14,Tumkur Road,7.011884786866888,9.050784347670415,17.878808429635022,0.30923256047171355
15,Yeshwanthpur Circle,7.19739728450617,9.125660327449744,20.95400642730349,0.4603389808477112
