node_id,node_name,MAE,RMSE,MAPE,R2
0,Hosur Road,8.1021943195357,9.877674472943767,20.42718710651956,-7.35570888779069e-05
1,Silk Board Junction,9.45108366863733,11.409049119553979,28.771336708922,-0.07699836273540295
2,Ballari Road,8.021631807451945,10.209988768041251,23.814164363698566,-0.032810259344241866
3,Hebbal Flyover,8.624951826445704,10.992793144564596,21.71801298572771,-0.08935027453902733
4,100 Feet Road,8.802990638352062,10.747902975460068,26.32476209621825,-0.0013698250379119425
5,CMH Road,9.471936086030558,12.141959769309517,30.232112051281213,-0.013104953423594079
6,Jayanagar 4th Block,9.28779009152662,11.531984390464562,26.588821923804822,-0.008330189076215966
7,South End Circle,7.939345275357455,9.87118447241674,24.824218247257324,-0.030852028526398678
8,Sarjapur Road,6.358043901714942,8.461367687401967,17.61103210573671,-0.018789119008214783
9,Sony World Junction,8.585733634113577,10.594218788420942,28.166093351014037,-0.005258937169975386
10,Anil Kumble Circle,8.354150971883346,10.295304329340336,21.369847794591195,-0.07485769843245804
11,Trinity Circle,8.370644152785928,10.044854206959188,24.846229620860445,-0.00016565273254998125
12,ITPL Main Road,8.319354648971258,10.216745401549094,19.980200012504064,-0.06909905258920812
13,Marathahalli Bridge,8.914581371501171,10.870621140554675,28.609244197730476,-0.12681729181594625
14,Tumkur Road,9.063964342731916,10.894340798681759,24.31571599261969,-0.000832356793788458
15,Yeshwanthpur Circle,10.308284493744768,12.542130693912261,30.682812990705216,-0.01937761866383947
