node_id,node_name,MAE,RMSE,MAPE,R2
0,Hosur Road,9.354766279641686,12.114645695627093,22.024202504380806,-0.5043329212171686
1,Silk Board Junction,11.85311006757389,14.433768019786514,33.123703574473765,-0.7237551840546812
2,Ballari Road,12.408316336446573,15.109789919563768,35.97270485493655,-1.261970136674345
3,Hebbal Flyover,11.923744653179245,14.766166127215929,30.28213712525693,-0.9655628535348402
4,100 Feet Road,11.875223124828864,14.822817913675436,35.079063434309305,-0.9046210207090097
5,CMH Road,11.718385137638629,15.034755964786987,36.693130591047705,-0.55335108896215
6,Jayanagar 4th Block,12.25268554404702,15.235394757314799,35.82593314475585,-0.7599571792537456
7,South End Circle,13.174249840683743,15.871260064447924,37.365418132445264,-1.664898115624902
8,Sarjapur Road,9.624674942047463,12.231936403442665,26.494711802810517,-1.129087898278038
9,Sony World Junction,11.75891436903952,14.650709732414997,38.589838088050904,-0.9224603684504704
10,Anil Kumble Circle,11.22712331945813,13.902732021016915,28.259038967081707,-0.9600759364942397
11,Trinity Circle,10.356518811447081,12.701800412365474,31.056385381497243,-0.5992458382207901
12,ITPL Main Road,11.567623335821782,14.156330496123834,27.06246823169603,-1.0525520971651603
13,Marathahalli Bridge,11.943378591332877,14.56405586642429,34.209435748034174,-1.0225974485677694
14,Tumkur Road,10.32156254944833,13.28798558572897,24.550652945363474,-0.48894179423094397
15,Yeshwanthpur Circle,10.43059940678383,12.996632955005998,28.98722847712157,-0.0945967592521253
