Model,MAE,RMSE,MAPE,R2
HistoricalMean,8.623542576924017,10.71056830705681,24.892611971824454,0.025795261300172845
NaivePreviousDay,6.963512268981315,11.415481414031198,19.45314534809229,-0.10665861633698026
Ridge,11.361929769338666,14.160021585990195,31.598503312703862,-0.7027584257293822
RandomForest,7.467258570638875,9.66180141634243,21.429012064793167,0.2072405619984532
XGBoost,7.8480789756542855,10.112717181981456,22.497614338045516,0.1315177825131738
